route,cost
"['Warehouse', ""Pak 'n Save Lincoln Road"", 'Four Square Fair Price Henderson', ""Pak 'n Save Henderson"", 'Four Square Glen Eden', 'New World Green Bay', 'Warehouse']",208.4029166666665
"['Warehouse', 'Four Square Hobsonville', ""Pak 'n Save Lincoln Road"", 'Four Square Fair Price Henderson', ""Pak 'n Save Henderson"", 'Four Square Glen Eden', 'New World Green Bay', 'Warehouse']",272.22999999999973
"['Warehouse', ""Pak 'n Save Westgate"", 'Four Square Hobsonville', 'Warehouse']",158.38166666666677
"['Warehouse', 'Four Square Hobsonville', ""Pak 'n Save Westgate"", ""Pak 'n Save Lincoln Road"", 'Four Square Fair Price Henderson', ""Pak 'n Save Mt Albert"", 'Warehouse']",247.85374999999996
"['Warehouse', 'New World New Lynn', 'Warehouse']",73.5945833333335
"['Warehouse', 'New World Green Bay', 'New World New Lynn', 'Warehouse']",105.61791666666682
"['Warehouse', 'New World Green Bay', 'Warehouse']",78.90875
"['Warehouse', 'Four Square Glen Eden', 'Warehouse']",108.83708333333324
"['Warehouse', 'New World New Lynn', 'Four Square Glen Eden', 'Warehouse']",125.29041666666669
"['Warehouse', 'New World New Lynn', 'New World Green Bay', 'Four Square Glen Eden', 'Warehouse']",153.8625
"['Warehouse', ""Pak 'n Save Henderson"", 'Warehouse']",120.41624999999999
"['Warehouse', ""Pak 'n Save Henderson"", 'Four Square Fair Price Henderson', 'Warehouse']",145.61833333333348
"['Warehouse', 'New World New Lynn', ""Pak 'n Save Henderson"", 'Four Square Fair Price Henderson', ""Pak 'n Save Lincoln Road"", 'Warehouse']",185.53500000000005
"['Warehouse', 'New World New Lynn', 'Four Square Glen Eden', ""Pak 'n Save Henderson"", 'Four Square Fair Price Henderson', ""Pak 'n Save Lincoln Road"", 'Warehouse']",205.57625000000002
"['Warehouse', 'New World New Lynn', ""Pak 'n Save Mt Albert"", 'Warehouse']",90.28583333333341
"['Warehouse', 'New World Green Bay', 'New World New Lynn', ""Pak 'n Save Mt Albert"", 'Warehouse']",122.30916666666674
"['Warehouse', ""Pak 'n Save Henderson"", 'Four Square Glen Eden', 'New World Green Bay', 'New World New Lynn', ""Pak 'n Save Mt Albert"", 'Warehouse']",215.96083333333337
"['Warehouse', 'Four Square Fair Price Henderson', 'Warehouse']",119.63625
"['Warehouse', 'Four Square Fair Price Henderson', 'Four Square Hobsonville', 'Warehouse']",179.91208333333324
"['Warehouse', 'Four Square Fair Price Henderson', ""Pak 'n Save Henderson"", 'Four Square Hobsonville', 'Warehouse']",216.68041666666667
"['Warehouse', 'New World New Lynn', 'Four Square Fair Price Henderson', ""Pak 'n Save Henderson"", 'Four Square Hobsonville', 'Warehouse']",263.88833333333343
"['Warehouse', 'New World New Lynn', ""Pak 'n Save Lincoln Road"", 'Four Square Fair Price Henderson', ""Pak 'n Save Henderson"", 'Four Square Hobsonville', 'Warehouse']",275.3387500000002
"['Warehouse', ""Pak 'n Save Lincoln Road"", 'Warehouse']",104.19250000000001
"['Warehouse', ""Pak 'n Save Lincoln Road"", 'Four Square Fair Price Henderson', ""Pak 'n Save Mt Albert"", 'Warehouse']",159.57208333333344
