route,cost
"['Warehouse', 'Four Square Alberton', 'New World Mt Roskill', 'Warehouse']",72.25
"['Warehouse', 'Four Square Alberton', 'New World Mt Roskill', ""Pak 'n Save Royal Oak"", 'Warehouse']",120.10791666666667
"['Warehouse', 'New World Remuera', 'Warehouse']",102.94624999999999
"['Warehouse', 'New World Remuera', 'New World Eastridge', 'Four Square Ellerslie', 'Warehouse']",183.10416666666677
"['Warehouse', 'New World Eastridge', 'Warehouse']",149.95625
"['Warehouse', 'New World Eastridge', ""Pak 'n Save Glen Innes"", 'Warehouse']",184.24458333333317
"['Warehouse', 'New World Eastridge', ""Pak 'n Save Glen Innes"", 'Four Square Ellerslie', 'Warehouse']",194.2899999999999
"['Warehouse', 'New World Stonefields', 'Warehouse']",146.1820833333335
"['Warehouse', 'New World Stonefields', 'New World Remuera', 'Warehouse']",151.79000000000008
"['Warehouse', 'New World Howick', 'Warehouse']",207.065
"['Warehouse', 'New World Howick', 'Four Square Cockle Bay', 'Four Square Botany Junction', 'Warehouse']",254.25458333333341
"['Warehouse', 'New World Howick', 'Four Square Cockle Bay', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",279.7383333333335
"['Warehouse', 'New World Botany', 'Warehouse']",188.34291666666678
"['Warehouse', 'New World Botany', 'New World Howick', 'Warehouse']",228.12249999999992
"['Warehouse', 'New World Botany', 'New World Howick', 'Four Square Botany Junction', 'Warehouse']",255.46708333333345
"['Warehouse', 'New World Ormiston', 'Warehouse']",170.1870833333335
"['Warehouse', 'New World Ormiston', 'New World Botany', 'Warehouse']",212.2479166666668
"['Warehouse', 'New World Ormiston', 'Four Square Botany Junction', 'New World Botany', 'Warehouse']",227.02416666666687
"['Warehouse', 'New World Ormiston', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'Warehouse']",283.5275000000001
"['Warehouse', ""Pak 'n Save Royal Oak"", 'Warehouse']",60.860833333333254
"['Warehouse', ""Pak 'n Save Royal Oak"", 'New World Mt Roskill', 'Warehouse']",85.62124999999999
"['Warehouse', ""Pak 'n Save Sylvia Park"", 'Warehouse']",145.13416666666674
"['Warehouse', ""Pak 'n Save Sylvia Park"", 'Four Square Ellerslie', 'Warehouse']",143.2912500000001
"['Warehouse', ""Pak 'n Save Sylvia Park"", 'New World Stonefields', 'Four Square Ellerslie', 'Warehouse']",170.97333333333341
"['Warehouse', ""Pak 'n Save Botany"", 'Warehouse']",193.86499999999998
"['Warehouse', ""Pak 'n Save Botany"", 'New World Botany', 'Warehouse']",205.30375000000006
"['Warehouse', ""Pak 'n Save Botany"", 'New World Botany', 'Four Square Botany Junction', 'Warehouse']",216.69625
"['Warehouse', ""Pak 'n Save Ormiston"", 'Warehouse']",174.55375
"['Warehouse', ""Pak 'n Save Glen Innes"", 'Warehouse']",166.76583333333326
"['Warehouse', ""Pak 'n Save Wairau Road"", 'New World Milford', 'Warehouse']",190.64375000000015
"['Warehouse', ""Pak 'n Save Wairau Road"", 'New World Milford', 'Four Square Lancaster', 'Warehouse']",254.7158333333334
"['Warehouse', 'New World Albany', ""Pak 'n Save Albany"", 'Warehouse']",203.53666666666646
"['Warehouse', 'Four Square Torbay', 'New World Long Bay', 'Warehouse']",246.77583333333322
"['Warehouse', 'New World Victoria Park', 'New World Metro Queen St', 'Warehouse']",119.95124999999982
"['Warehouse', 'New World Victoria Park', 'New World Metro Queen St', 'Four Square Alberton', 'Warehouse']",148.33791666666656
"['Warehouse', 'New World Devonport', 'New World Metro Shore City', 'Warehouse']",224.535
"['Warehouse', 'New World Devonport', 'New World Metro Shore City', 'Four Square Alberton', 'Warehouse']",252.92208333333326
"['Warehouse', 'New World Metro Shore City', 'New World Milford', 'Four Square Lancaster', 'Warehouse']",247.34333333333325
"['Warehouse', 'New World Metro Shore City', 'New World Milford', 'Four Square Lancaster', 'Four Square Torbay', 'Warehouse']",352.38541666666646
"['Warehouse', 'Four Square Lancaster', 'New World Birkenhead', 'New World Victoria Park', 'Warehouse']",217.82375
"['Warehouse', 'Four Square Torbay', 'Four Square Lancaster', 'New World Birkenhead', 'New World Victoria Park', 'Warehouse']",328.03
"['Warehouse', ""Pak 'n Save Wairau Road"", 'New World Metro Shore City', 'Warehouse']",188.65083333333334
"['Warehouse', 'New World Albany', 'New World Browns Bay', 'Warehouse']",239.90791666666652
"['Warehouse', ""Pak 'n Save Albany"", 'New World Albany', 'Four Square Torbay', 'Warehouse']",269.50791666666674
"['Warehouse', 'Four Square Torbay', 'New World Browns Bay', 'Warehouse']",251.07416666666666
"['Warehouse', 'Four Square Torbay', 'New World Browns Bay', 'New World Albany', 'Warehouse']",273.25208333333313
"['Warehouse', 'Four Square Torbay', 'New World Browns Bay', 'New World Albany', 'Four Square Lancaster', 'Warehouse']",332.77249999999987
"['Warehouse', ""Pak 'n Save Mt Albert"", 'Warehouse']",48.880416666666676
"['Warehouse', 'Four Square Alberton', ""Pak 'n Save Mt Albert"", 'Warehouse']",76.66708333333334
"['Warehouse', 'Four Square Alberton', 'Warehouse']",67.13124999999992
"['Warehouse', 'New World Victoria Park', 'Warehouse']",97.58874999999999
"['Warehouse', 'New World Victoria Park', 'Four Square Alberton', 'Warehouse']",125.97583333333326
"['Warehouse', 'New World Victoria Park', 'Four Square Alberton', ""Pak 'n Save Mt Albert"", 'Warehouse']",135.51166666666666
"['Warehouse', 'New World Metro Queen St', 'Warehouse']",100.5891666666665
"['Warehouse', ""Pak 'n Save Mt Albert"", 'New World Metro Queen St', 'Warehouse']",128.18458333333325
"['Warehouse', ""Pak 'n Save Mt Albert"", 'Four Square Alberton', 'New World Metro Queen St', 'Warehouse']",143.57208333333318
"['Warehouse', 'New World Devonport', 'Warehouse']",206.28041666666675
"['Warehouse', 'New World Devonport', ""Pak 'n Save Wairau Road"", 'Warehouse']",252.93625000000003
"['Warehouse', 'New World Devonport', ""Pak 'n Save Wairau Road"", 'Four Square Lancaster', 'Warehouse']",305.89583333333354
"['Warehouse', 'New World Birkenhead', 'Warehouse']",156.63499999999996
"['Warehouse', 'New World Birkenhead', 'Four Square Lancaster', 'Warehouse']",196.73499999999999
"['Warehouse', 'New World Birkenhead', 'Four Square Lancaster', ""Pak 'n Save Wairau Road"", 'Warehouse']",224.6716666666665
"['Warehouse', 'New World Metro Shore City', 'Warehouse']",150.7866666666665
"['Warehouse', 'New World Metro Shore City', ""Pak 'n Save Wairau Road"", 'Four Square Lancaster', 'Warehouse']",243.6045833333334
"['Warehouse', 'Four Square Lancaster', 'Warehouse']",181.72874999999996
"['Warehouse', ""Pak 'n Save Wairau Road"", 'Warehouse']",162.37666666666675
"['Warehouse', ""Pak 'n Save Wairau Road"", 'New World Victoria Park', 'Warehouse']",183.42666666666673
"['Warehouse', ""Pak 'n Save Wairau Road"", 'Four Square Lancaster', 'New World Victoria Park', 'Warehouse']",236.38625000000027
"['Warehouse', 'New World Milford', 'Warehouse']",164.16291666666672
"['Warehouse', 'New World Milford', 'New World Metro Shore City', 'Warehouse']",180.9487499999999
"['Warehouse', 'New World Milford', 'New World Metro Shore City', 'Four Square Alberton', 'Warehouse']",209.33583333333317
"['Warehouse', 'New World Albany', 'Warehouse']",190.5816666666665
"['Warehouse', 'New World Albany', 'New World Long Bay', 'Four Square Torbay', 'Warehouse']",270.73333333333323
"['Warehouse', 'New World Albany', 'New World Long Bay', 'Four Square Torbay', 'Four Square Lancaster', 'Warehouse']",330.2533333333333
"['Warehouse', ""Pak 'n Save Albany"", 'Warehouse']",186.6375
"['Warehouse', ""Pak 'n Save Albany"", ""Pak 'n Save Wairau Road"", 'Warehouse']",217.46583333333353
"['Warehouse', 'New World Browns Bay', 'Warehouse']",218.66083333333324
"['Warehouse', 'New World Browns Bay', 'New World Milford', 'Warehouse']",244.43916666666672
"['Warehouse', 'New World Browns Bay', 'Four Square Torbay', 'New World Milford', 'Warehouse']",294.8449999999999
"['Warehouse', 'New World Browns Bay', 'Four Square Torbay', 'New World Milford', 'Four Square Lancaster', 'Warehouse']",358.9170833333331
"['Warehouse', 'Four Square Torbay', 'Warehouse']",232.415
"['Warehouse', 'Four Square Torbay', 'New World Albany', 'Warehouse']",256.1341666666665
"['Warehouse', 'New World Long Bay', 'Warehouse']",224.95125000000002
"['Warehouse', 'New World Long Bay', 'Four Square Torbay', 'New World Browns Bay', 'Warehouse']",265.61583333333346
"['Warehouse', 'New World Long Bay', 'Four Square Torbay', 'New World Browns Bay', 'Four Square Lancaster', 'Warehouse']",325.1362500000002
