,New World Albany,New World Birkenhead,New World Botany,New World Browns Bay,New World Devonport,New World Eastridge,New World Green Bay,New World Howick,New World Long Bay,New World Metro Shore City,New World Metro Queen St,New World Milford,New World Mt Roskill,New World New Lynn,New World Ormiston,New World Papakura,New World Papatoetoe,New World Remuera,New World Southmall,New World Stonefields,New World Victoria Park,Pak 'n Save Albany,Pak 'n Save Botany,Pak 'n Save Clendon,Pak 'n Save Glen Innes,Pak 'n Save Henderson,Pak 'n Save Lincoln Road,Pak 'n Save Mangere,Pak 'n Save Manukau,Pak 'n Save Mt Albert,Pak 'n Save Ormiston,Pak 'n Save Papakura,Pak 'n Save Royal Oak,Pak 'n Save Sylvia Park,Pak 'n Save Wairau Road,Pak 'n Save Westgate,Four Square Alberton,Four Square Botany Junction,Four Square Cockle Bay,Four Square Ellerslie,Four Square Everglade,Four Square Fair Price Henderson,Four Square Glen Eden,Four Square Hobsonville,Four Square Lancaster,Four Square Pakuranga Heights,Four Square St Heliers,Four Square Torbay,Warehouse
Four Square Alberton,22380.71,14434.34,22819.82,25219.84,20453.46,13376.62,9463.05,24795.05,28075.08,14565.05,7423.97,16522.17,4359.28,6342.58,28091.02,38913.52,25343.72,9940.82,31503.59,14290.37,6741.04,22104.86,22629.46,28307.25,17331.86,11822.75,11829.17,21003.33,24289.95,2982.17,28432.13,35131.1,14085,15697.13,17087.55,15190.87,0,27289.61,27239.66,11458.59,26260.28,13670.71,10552.39,19062.95,17602.38,19987.1,19688.34,28207.12,10525.74
Four Square Botany Junction,39812.05,31865.67,3792.54,42651.17,37884.8,22682.4,30482,8746.19,45506.41,31996.38,23571.57,33953.5,23143.16,27804.3,1200.78,15996.52,6383.46,19888.55,8586.59,16716.48,24126.23,39536.19,4300.1,11933.42,17785.28,35677.97,35684.39,14446.71,3611.05,26472.57,1541.9,12214.09,22058.26,12673.56,34518.89,39046.1,26677.2,0,9208.52,16295.77,3961.31,37525.93,33944.64,42918.18,35033.71,7633.81,20919.23,45638.45,23383.63
Four Square Cockle Bay,40013.85,32067.48,5486.8,42852.97,38086.6,16023.22,39339.45,1613.94,45708.22,32198.18,23773.37,34155.3,32000.6,32840.07,9595.25,24853.96,14565.08,20090.36,17444.03,12091.03,24328.03,39738,4961.59,20790.86,12686.84,35879.78,35886.2,23304.15,12468.49,28767.28,9936.37,21071.53,18581.32,12727.69,34720.69,39247.9,26879,8996.71,0,16497.57,12818.75,37727.73,36220.3,43119.98,35235.51,6661.13,16217.44,45840.25,32241.07
Four Square Ellerslie,26086.67,18140.3,12675.71,28925.79,24159.42,6730.26,24413.33,14650.93,31781.04,18271,9846.19,20228.13,20242.58,18912.9,17946.91,26485.4,13543.06,3279.53,19075.47,3321.9,10400.85,25810.82,12485.34,22427.76,6363.39,21952.6,21959.02,24941.06,14145.83,14840.1,18288.02,22702.97,4466.07,5553.02,20793.51,25320.72,12951.82,17145.5,17095.54,0,16116.16,23800.56,22293.12,29192.8,21308.33,9842.98,8719.87,31913.08,9727.51
Four Square Everglade,39287.98,31341.61,7551.97,42127.1,37360.73,22158.33,28226.22,12505.62,44982.35,31472.31,23047.5,33429.44,20887.37,25548.52,4850.16,13740.73,5997.19,19364.49,3603.9,16192.42,23602.16,39012.13,8059.52,6579.78,17261.21,34324.5,34330.93,12190.93,3029.68,24216.79,5191.27,9958.31,19802.47,12149.5,33994.82,37692.63,26153.13,4366.57,12967.94,15771.7,0,36172.46,31688.85,41564.71,34509.64,11393.24,20395.17,45114.39,21127.84
Four Square Fair Price Henderson,23625.43,25267.65,33653.13,26464.55,34256.8,24209.92,11967.15,35628.36,29319.8,28368.39,18257.28,27430.12,17237.88,10135,38924.33,47462.82,32468.87,20774.13,40052.89,25123.68,17574.35,23349.57,33462.76,35432.39,28165.17,2439.36,1959.29,28128.48,35123.25,13669,39265.45,43680.39,21210.15,26530.44,24196.86,7504.37,14580.39,38122.92,38072.96,22291.9,37093.59,0,7496.39,11376.45,24039.39,30820.4,30521.65,29451.84,17650.89
Four Square Glen Eden,29622.02,24456.08,32841.56,32461.14,30475.2,23398.35,5148.36,34816.78,35316.39,24586.78,17445.7,26543.91,10947.74,4661.21,33882.52,40598.3,27028.5,19962.56,33188.37,24312.11,16762.78,29346.17,32651.19,29992.02,27353.6,5277.15,8041.33,22688.11,29359.82,7512.47,34223.63,36815.88,15769.78,25718.86,30193.46,13500.96,10522.71,33081.11,37261.39,21480.33,30719.33,7452.14,0,17373.04,30035.98,30008.83,29710.08,35448.43,12210.52
Four Square Hobsonville,13223.5,21745.36,38594.02,16062.62,23854.87,29150.82,26349.52,40569.25,18917.87,17966.46,23198.17,17028.19,22178.77,18671.04,43865.22,52403.71,37409.76,25715.03,44993.78,30064.57,22515.24,12947.65,38403.66,40373.29,33106.06,13710.15,9406.6,33069.38,40064.15,18609.89,44206.34,48621.29,26151.04,31471.33,13794.93,5187.13,19521.28,43063.81,43013.86,27232.79,42034.48,11248.14,17312.64,0,13637.46,35761.3,35462.54,19049.91,22591.78
Four Square Lancaster,11867.32,3585.78,31260.35,14706.44,16854.68,23623.9,29343.48,33235.57,17561.69,8792.32,12991.99,8138.47,25172.73,31284.21,36531.54,45070.04,32127.7,18381.35,37660.11,22730.9,12125.44,11591.47,31069.98,41012.4,25772.39,26323.32,22019.77,36063.33,32730.47,19770.25,36872.66,41287.61,20786.67,24137.66,5494.59,17800.3,17881.97,35730.14,35680.18,19899.12,34700.8,23861.31,29925.81,14462.37,0,28427.62,28128.87,17693.73,25585.74
Four Square Pakuranga Heights,32889.42,24943.05,4048.89,35728.55,30962.17,10678.13,31216.09,5483.45,38583.79,25073.76,16648.94,27030.88,27045.34,25715.65,8064.73,24537.59,10745.3,12965.93,17127.66,6745.94,17203.61,32613.57,3858.52,20479.95,7341.76,28755.35,28761.77,18115.81,12198.02,21642.86,8405.85,20755.16,11456.89,5603.26,27596.26,32123.47,19754.57,7445.69,6908.89,9373.14,11267.73,30603.31,29095.87,35995.55,28111.08,0,10872.36,38715.83,16925.72
Four Square St Heliers,31801.61,23855.23,13696.73,34640.73,29874.36,4034.01,28306.22,14918.67,37495.98,23985.94,11088.17,25943.06,24135.47,22805.78,21916.15,30454.65,17512.31,8811.86,23044.72,5769.49,16115.79,31525.75,13506.36,26397.01,3575.65,25845.48,25851.9,28910.31,18115.08,18732.99,22257.27,26672.22,12908.55,8434.12,26508.45,29213.61,16844.71,21114.75,16344.1,8713.22,20085.41,27693.44,26186,33085.69,27023.27,10864,0,37628.01,24548.48
Four Square Torbay,6652.24,22071.13,42195.69,3443.19,24180.65,34559.25,40278.82,44170.92,1711.28,18292.23,23927.34,17353.97,36108.07,37675.01,47466.89,56005.38,43063.04,29316.7,48595.45,33666.24,23060.79,8250.32,42005.32,51947.75,36707.73,32714.12,28410.57,46998.68,43665.82,30705.6,47808,52222.96,31722.02,35073,14120.71,24191.09,28817.31,46665.48,46615.53,30834.46,45636.14,30252.1,36316.6,20853.16,18456.74,39362.96,39064.21,0,36521.08
Warehouse,27742.54,19796.17,27577.69,30581.66,25815.29,18738.44,7098.39,30156.87,33436.91,19926.87,12785.79,21883.99,2066.12,4420.69,25193.7,31909.49,18339.68,15302.65,24499.56,19652.19,12102.87,27466.69,27991.28,21303.21,22693.69,13196.68,13203.1,13999.3,20671,3088.97,25534.82,28127.06,7080.97,21058.95,22449.38,16564.8,4729.55,24392.3,32601.48,16820.41,22030.52,15044.64,10561.03,20436.88,22964.2,25348.92,25050.17,33568.95,0
