Route,Time,Demand,Cost,MainfreightCost
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Botany Junction', 'New World Papatoetoe', 'Warehouse']",114.47720000000004,12,286.1930000000001,3000
"['Warehouse', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'New World Southmall', 'Warehouse']",122.42240000000002,15,306.0560000000001,3000
"['Warehouse', 'Four Square Botany Junction', 'New World Ormiston', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'New World Southmall', ""Pak 'n Save Mangere"", 'Warehouse']",138.52780000000016,16,346.3195000000004,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'New World Papatoetoe', 'New World Ormiston', 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",122.69480000000011,14,306.73700000000025,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'New World Papatoetoe', 'New World Ormiston', 'Four Square Botany Junction', 'Four Square Everglade', 'New World Papakura', 'Warehouse']",162.59080000000006,16,406.47700000000015,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", ""Pak 'n Save Ormiston"", 'Warehouse']",96.92439999999996,14,242.3109999999999,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', ""Pak 'n Save Ormiston"", 'Warehouse']",102.51659999999997,14,256.2914999999999,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', ""Pak 'n Save Ormiston"", 'New World Papakura', 'Warehouse']",142.41259999999994,16,356.0314999999999,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", ""Pak 'n Save Clendon"", 'Four Square Everglade', 'Four Square Botany Junction', 'Warehouse']",145.33280000000002,14,363.33200000000005,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", ""Pak 'n Save Clendon"", 'Four Square Everglade', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",156.76500000000004,16,391.91250000000014,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",130.1772,15,325.443,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Papakura', ""Pak 'n Save Manukau"", 'Warehouse']",108.7524,12,271.881,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Papakura', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",117.0024,15,292.50600000000003,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Papakura', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",129.37280000000007,16,323.43200000000013,3000
"['Warehouse', 'New World Papatoetoe', 'Four Square Botany Junction', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Warehouse']",99.69739999999996,11,249.2434999999999,3000
"['Warehouse', 'Four Square Everglade', 'New World Ormiston', ""Pak 'n Save Manukau"", 'Warehouse']",94.9496,8,237.374,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",111.42640000000011,14,278.5660000000003,3000
"['Warehouse', 'New World Papatoetoe', 'New World Ormiston', ""Pak 'n Save Manukau"", ""Pak 'n Save Mangere"", 'Warehouse']",108.27799999999995,15,270.6949999999999,3000
"['Warehouse', 'New World Papatoetoe', 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", ""Pak 'n Save Mangere"", 'Warehouse']",112.94639999999995,15,282.3659999999999,3000
"['Warehouse', 'New World Papatoetoe', 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",104.22279999999996,13,260.5569999999999,3000
"['Warehouse', 'New World Papatoetoe', 'New World Ormiston', 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",121.82739999999995,15,304.5684999999999,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",117.08860000000001,11,292.7215,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",127.44120000000004,16,318.60300000000007,3000
"['Warehouse', ""Pak 'n Save Mangere"", 'New World Papatoetoe', 'New World Ormiston', 'Four Square Everglade', 'New World Mt Roskill', 'Warehouse']",119.71959999999999,14,299.299,3000
"['Warehouse', 'New World Papakura', 'Four Square Botany Junction', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'New World Papatoetoe', ""Pak 'n Save Mangere"", 'Warehouse']",155.77700000000004,16,389.4425000000001,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Papatoetoe', 'Warehouse']",118.84420000000007,13,297.1105000000002,3000
"['Warehouse', 'Four Square Everglade', ""Pak 'n Save Papakura"", 'Warehouse']",96.69119999999995,6,241.7279999999999,3000
"['Warehouse', 'Four Square Botany Junction', 'Four Square Everglade', ""Pak 'n Save Papakura"", 'Warehouse']",114.10060000000004,6,285.25150000000014,3000
"['Warehouse', 'Four Square Botany Junction', 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Papakura"", 'Warehouse']",121.94000000000005,9,304.85000000000014,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",117.8184,16,294.546,3000
