Route,Time,Demand,Cost,MainfreightCost
"['Warehouse', 'New World Papatoetoe', 'New World Ormiston', 'Warehouse']",100.54209999999999,13,251.35524999999998,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'Four Square Everglade', 'Warehouse']",98.13713333333338,11,245.34283333333346,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'Four Square Everglade', 'Four Square Botany Junction', 'Warehouse']",118.24506666666665,13,295.61266666666666,3000
"['Warehouse', 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",94.9764000000001,4,237.44100000000026,3000
"['Warehouse', 'New World Mt Roskill', 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",104.48493333333339,10,261.2123333333335,3000
"['Warehouse', 'Four Square Everglade', 'Warehouse']",54.951499999999996,2,137.37874999999997,3000
"['Warehouse', 'New World Mt Roskill', 'Four Square Everglade', 'Warehouse']",84.84063333333341,8,212.10158333333354,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Manukau"", 'Four Square Everglade', 'Warehouse']",93.74483333333342,16,234.36208333333354,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'Warehouse']",58.26653333333342,15,145.66633333333354,3000
"['Warehouse', 'New World Papatoetoe', 'Warehouse']",45.816500000000005,7,114.54125,3000
"['Warehouse', 'New World Southmall', 'Warehouse']",58.583,6,146.45749999999998,3000
"['Warehouse', 'New World Mt Roskill', 'New World Southmall', 'Warehouse']",89.92473333333342,12,224.81183333333357,3000
"['Warehouse', 'New World Papakura', 'Warehouse']",75.77266666666671,7,189.43166666666679,3000
"['Warehouse', 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",105.73886666666677,16,264.3471666666669,3000
"['Warehouse', ""Pak 'n Save Mangere"", 'Warehouse']",35.9701666666667,9,89.92541666666675,3000
"['Warehouse', ""Pak 'n Save Manukau"", 'Warehouse']",51.212500000000006,8,128.03125000000003,3000
"['Warehouse', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",79.05583333333334,15,197.63958333333332,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'Warehouse']",57.460499999999996,9,143.65124999999998,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'Warehouse']",68.8171666666667,9,172.04291666666674,3000
